city,country,province,Continent
Qal eh-ye Now,Afghanistan,Badghis,Asia
Chaghcharan,Afghanistan,Ghor,Asia
Lashkar Gah,Afghanistan,Hilmand,Asia
Zaranj,Afghanistan,Nimroz,Asia
Tarin Kowt,Afghanistan,Uruzgan,Asia
Zareh Sharan,Afghanistan,Paktika,Asia
Asadabad,Afghanistan,Kunar,Asia
Taloqan,Afghanistan,Takhar,Asia
Mahmud-E Eraqi,Afghanistan,Kapisa,Asia
Mehtar Lam,Afghanistan,Laghman,Asia
Baraki Barak,Afghanistan,Logar,Asia
Aybak,Afghanistan,Samangan,Asia
Mayda Shahr,Afghanistan,Wardak,Asia
Karokh,Afghanistan,Hirat,Asia
Sheberghan,Afghanistan,Jawzjan,Asia
Pol-e Khomri,Afghanistan,Baghlan,Asia
Balkh,Afghanistan,Balkh,Asia
Meymaneh,Afghanistan,Faryab,Asia
Andkhvoy,Afghanistan,Faryab,Asia
Qalat,Afghanistan,Zabul,Asia
Ghazni,Afghanistan,Ghazni,Asia
Feyzabad,Afghanistan,Badakhshan,Asia
Kondoz,Afghanistan,Kunduz,Asia
Jalalabad,Afghanistan,Nangarhar,Asia
Charikar,Afghanistan,Parwan,Asia
Gardiz,Afghanistan,Paktya,Asia
Bamian,Afghanistan,Bamyan,Asia
Baghlan,Afghanistan,Baghlan,Asia
Farah,Afghanistan,Farah,Asia
Herat,Afghanistan,Hirat,Asia
Mazar-e Sharif,Afghanistan,Balkh,Asia
Kandahar,Afghanistan,Kandahar,Asia
Kabul,Afghanistan,Kabul,Asia
Mariehamn,Aland,Finström,Europe
Kruje,Albania,Durrës,Europe
Fier,Albania,Fier,Europe
Lushnje,Albania,Fier,Europe
Puke,Albania,Shkodër,Europe
Bajram Curri,Albania,Kukës,Europe
Kukes,Albania,Kukës,Europe
Sarande,Albania,Vlorë,Europe
Erseke,Albania,Korçë,Europe
Pogradec,Albania,Korçë,Europe
Korce,Albania,Korçë,Europe
Berat,Albania,Berat,Europe
Corovode,Albania,Berat,Europe
Gramsh,Albania,Elbasan,Europe
Librazhd,Albania,Elbasan,Europe
Tepelene,Albania,Gjirokastër,Europe
Permet,Albania,Gjirokastër,Europe
Gjirokaster,Albania,Gjirokastër,Europe
Peshkopi,Albania,Dibër,Europe
Burrel,Albania,Dibër,Europe
Lezhe,Albania,Lezhë,Europe
Rreshen,Albania,Lezhë,Europe
Vlore,Albania,Vlorë,Europe
Elbasan,Albania,Elbasan,Europe
Durres,Albania,Durrës,Europe
Shkoder,Albania,Shkodër,Europe
Tirana,Albania,Durrës,Europe
Jijel,Algeria,Jijel,Africa
Tizi-Ouzou,Algeria,Tizi Ouzou,Africa
Bordj Bou Arreridj,Algeria,Bordj Bou Arréridj,Africa
M'sila,Algeria,M'Sila,Africa
Guelma,Algeria,Guelma,Africa
Oum el Bouaghi,Algeria,Oum el Bouaghi,Africa
Timimoun,Algeria,Adrar,Africa
Sidi bel Abbes,Algeria,Sidi Bel Abbès,Africa
Tlimcen,Algeria,Tlemcen,Africa
Beni Ounif,Algeria,Béchar,Africa
Abadla,Algeria,Béchar,Africa
Sefra,Algeria,Naâma,Africa
Skikda,Algeria,Skikda,Africa
Djanet,Algeria,Illizi,Africa
I-n-Amenas,Algeria,Illizi,Africa
In Amguel,Algeria,Tamanghasset,Africa
El Bayadh,Algeria,El Bayadh,Africa
El Oued,Algeria,Biskra,Africa
Hassi Messaoud,Algeria,Ouargla,Africa
Chlef,Algeria,Chlef,Africa
Mascara,Algeria,Mascara,Africa
Mostaganem,Algeria,Mostaganem,Africa
Saida,Algeria,Saïda,Africa
Tiarat,Algeria,Tiaret,Africa
Bejaia,Algeria,Béjaïa,Africa
Blida,Algeria,Blida,Africa
Bouira,Algeria,Bouira,Africa
Medea,Algeria,Médéa,Africa
Souk Ahras,Algeria,Souk Ahras,Africa
Tebessa,Algeria,Tébessa,Africa
Adrar,Algeria,Adrar,Africa
Reggane,Algeria,Adrar,Africa
Bechar,Algeria,Béchar,Africa
Tindouf,Algeria,Tindouf,Africa
Illizi,Algeria,Illizi,Africa
Arak,Algeria,Tamanghasset,Africa
I-n-Salah,Algeria,Tamanghasset,Africa
El Golea,Algeria,Ghardaïa,Africa
Laghouat,Algeria,Laghouat,Africa
Touggourt,Algeria,Ouargla,Africa
Ouargla,Algeria,Ouargla,Africa
Biskra,Algeria,Biskra,Africa
Djelfa,Algeria,Djelfa,Africa
Setif,Algeria,Sétif,Africa
Batna,Algeria,Batna,Africa
Annaba,Algeria,Annaba,Africa
Constantine,Algeria,Constantine,Africa
Oran,Algeria,Oran,Africa
Tamanrasset,Algeria,Tamanghasset,Africa
Ghardaia,Algeria,Ghardaïa,Africa
Algiers,Algeria,Alger,Africa
Pago Pago,American Samoa,,Australia
Andorra,Andorra,,Europe
Mucusso,Angola,Cuando Cubango,Africa
Lucapa,Angola,Lunda Norte,Africa
Capenda-Camulemba,Angola,Lunda Norte,Africa
Saurimo,Angola,Lunda Sul,Africa
Muconda,Angola,Lunda Sul,Africa
Cacolo,Angola,Lunda Sul,Africa
Caxito,Angola,Bengo,Africa
Camabatela,Angola,Cuanza Norte,Africa
Ndalatando,Angola,Cuanza Norte,Africa
Quibala,Angola,Cuanza Sul,Africa
Calulo,Angola,Cuanza Sul,Africa
Waku Kungo,Angola,Cuanza Sul,Africa
Songo,Angola,Uíge,Africa
Mbanza-Congo,Angola,Zaire,Africa
Nzeto,Angola,Zaire,Africa
Soyo,Angola,Zaire,Africa
Cabinda,Angola,Cabinda,Africa
Calucinga,Angola,Bié,Africa
Camacupa,Angola,Bié,Africa
Cubal,Angola,Benguela,Africa
Mavinga,Angola,Cuando Cubango,Africa
Cuito Caunavale,Angola,Cuando Cubango,Africa
Luiana,Angola,Cuando Cubango,Africa
Ondjiva,Angola,Cunene,Africa
Chitado,Angola,Cunene,Africa
Chibemba,Angola,Huíla,Africa
Chibia,Angola,Huíla,Africa
Quipungo,Angola,Huíla,Africa
Luau,Angola,Moxico,Africa
Cangamba,Angola,Moxico,Africa
Lumbala Nguimbo,Angola,Moxico,Africa
Cazombo,Angola,Moxico,Africa
Dundo,Angola,Lunda Norte,Africa
Ambriz,Angola,Bengo,Africa
Dondo,Angola,Cuanza Norte,Africa
Sumbe,Angola,Cuanza Sul,Africa
Uige,Angola,Uíge,Africa
Kuito,Angola,Bié,Africa
Lobito,Angola,Benguela,Africa
Xangongo,Angola,Cunene,Africa
Luena,Angola,Moxico,Africa
Tômbua,Angola,Namibe,Africa
Malanje,Angola,Malanje,Africa
Benguela,Angola,Benguela,Africa
Lubango,Angola,Huíla,Africa
Namibe,Angola,Namibe,Africa
Menongue,Angola,Cuando Cubango,Africa
Huambo,Angola,Huambo,Africa
Luanda,Angola,Luanda,Africa
Artigas Base,Antarctica,,Antarctica
Capitan Arturo Prat Station,Antarctica,,Antarctica
Marambio Station,Antarctica,,Antarctica
Zucchelli Station,Antarctica,,Antarctica
Rothera Station,Antarctica,,Antarctica
Palmer Station,Antarctica,,Antarctica
Base Presidente Montalva,Antarctica,,Antarctica
Carlini Station,Antarctica,,Antarctica
King Sejong Station,Antarctica,,Antarctica
Great Wall Station,Antarctica,,Antarctica
Escudero Base,Antarctica,,Antarctica
Elephant Island,Antarctica,,Antarctica
Scott Base,Antarctica,,Antarctica
McMurdo Station,Antarctica,,Antarctica
Zhongshan Station,Antarctica,,Antarctica
Vostok,Antarctica,,Antarctica
Peter I Island,Antarctica,,Antarctica
Mirny Station,Antarctica,,Antarctica
Mawson Station,Antarctica,,Antarctica
Davis Station,Antarctica,,Antarctica
Concordia Research Station,Antarctica,,Antarctica
Casey Station,Antarctica,,Antarctica
Amundsen–Scott South Pole Station,Antarctica,,Antarctica
Wasa Station,Antarctica,,Antarctica
Troll Station,Antarctica,,Antarctica
Svea Station,Antarctica,,Antarctica
Novolazarevskaya Station,Antarctica,,Antarctica
Neumayer Station III,Antarctica,,Antarctica
Maitri Station,Antarctica,,Antarctica
Halley Station,Antarctica,,Antarctica
Belgrano Station,Antarctica,,Antarctica
Camp Sobral,Antarctica,,Antarctica
Aboa Station,Antarctica,,Antarctica
San Martín Station,Antarctica,,Antarctica
Gen. O'Higgins Station,Antarctica,,Antarctica
Esperanza Station,Antarctica,,Antarctica
Orcadas Station,Antarctica,,Antarctica
Signy Research Station,Antarctica,,Antarctica
Dumont d'Urville Station,Antarctica,,Antarctica
Showa Station,Antarctica,,Antarctica
Saint John's,Antigua and Barbuda,,South America
28 de Noviembre,Argentina,Santa Cruz,South America
Gobernador Gregores,Argentina,Santa Cruz,South America
Comondante Luis Piedrabuena,Argentina,Santa Cruz,South America
Paso Rio Mayo,Argentina,Chubut,South America
Alto Rio Sanguer,Argentina,Chubut,South America
El Maiten,Argentina,Chubut,South America
Puerto Madryn,Argentina,Chubut,South America
Trelew,Argentina,Chubut,South America
Las Heras,Argentina,Mendoza,South America
San Martin,Argentina,Mendoza,South America
Uspallata,Argentina,Mendoza,South America
Cutral Co,Argentina,Neuquén,South America
Punta Alta,Argentina,Ciudad de Buenos Aires,South America
San Nicolas,Argentina,Ciudad de Buenos Aires,South America
Campana,Argentina,Ciudad de Buenos Aires,South America
Chacabuco,Argentina,Ciudad de Buenos Aires,South America
Mercedes,Argentina,Ciudad de Buenos Aires,South America
Lincoln,Argentina,Ciudad de Buenos Aires,South America
Chivilcoy,Argentina,Ciudad de Buenos Aires,South America
Veinticinco de Mayo,Argentina,Ciudad de Buenos Aires,South America
Nueve de Julio,Argentina,Ciudad de Buenos Aires,South America
